Reasons for using the net,As a %
Finding information,60.3
Staying in touch with friends and family,56.8
"Watching videos, tv shows or movies",52.3
Keeping up to date with news and events,50.8
Researching how to do things,48.5
Finding new ideas or inspiration,45.6
Accessing and listening to music,45.3
Researching products and brands,43.5
Filling up spare time and general browsing,41.9
Education and study-related purposes,38.3
"Researching places, vacations and travel",36.9
Researching health issues and healthcare products,35.2
Managing finances and savings,33.7
Business-related research,29.5
Gaming,29.3
